,total_cup_points,species,country_of_origin,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture,continent
649,82.58,Arabica,Mexico,7.5,7.58,7.5,7.5,7.42,7.5,10.0,10.0,10.0,7.58,0.1,North America
650,82.58,Arabica,Mexico,7.67,7.58,7.58,7.75,7.67,6.83,10.0,10.0,10.0,7.5,0.12,North America
651,82.58,Arabica,Colombia,7.33,7.42,7.58,7.42,7.67,7.5,10.0,10.0,10.0,7.67,0.11,South America
652,82.58,Arabica,Brazil,7.58,7.5,7.33,7.75,7.5,7.5,10.0,10.0,10.0,7.42,0.0,South America
653,82.5,Arabica,Brazil,7.5,7.5,7.5,7.5,7.58,7.5,10.0,10.0,10.0,7.42,0.11,South America
654,82.5,Arabica,Indonesia,7.83,7.75,7.25,7.5,7.42,7.33,10.0,10.0,10.0,7.42,0.11,Asia
655,82.5,Arabica,Honduras,7.58,7.58,7.33,7.5,7.5,7.5,10.0,10.0,10.0,7.5,0.1,North America
656,82.5,Arabica,Guatemala,7.5,7.5,7.33,7.5,7.67,7.5,10.0,10.0,10.0,7.5,0.1,North America
657,82.5,Arabica,Thailand,7.5,7.83,7.5,7.75,7.33,7.42,9.33,10.0,10.0,7.83,0.12,Asia
658,82.5,Arabica,Thailand,7.33,7.5,7.5,7.5,7.67,7.5,10.0,10.0,10.0,7.5,0.11,Asia
659,82.5,Arabica,"Tanzania, United Republic Of",7.67,7.42,7.33,7.58,7.5,7.5,10.0,10.0,10.0,7.5,0.12,Africa
660,82.5,Arabica,"Tanzania, United Republic Of",7.75,7.0,7.42,7.58,7.58,7.58,10.0,10.0,10.0,7.58,0.12,Africa
661,82.5,Arabica,Mexico,7.42,7.58,7.5,7.67,7.25,7.5,10.0,10.0,10.0,7.58,0.0,North America
662,82.5,Arabica,Brazil,7.42,7.5,7.67,7.33,7.42,7.67,10.0,10.0,10.0,7.5,0.11,South America
663,82.5,Arabica,Guatemala,7.83,7.42,7.33,7.67,7.42,7.5,10.0,10.0,10.0,7.33,0.12,North America
664,82.5,Arabica,Colombia,7.5,7.5,7.42,7.42,7.58,7.58,10.0,10.0,10.0,7.5,0.11,South America
665,82.5,Arabica,Guatemala,7.83,7.67,7.17,7.33,7.5,7.67,10.0,10.0,10.0,7.33,0.11,North America
666,82.5,Arabica,Mexico,7.5,7.58,7.5,7.5,7.42,7.42,10.0,10.0,10.0,7.58,0.13,North America
667,82.5,Arabica,Mexico,7.67,7.5,7.33,7.67,7.5,7.33,10.0,10.0,10.0,7.5,0.12,North America
668,82.5,Arabica,Mexico,7.92,7.5,7.33,7.58,7.25,7.42,10.0,10.0,10.0,7.5,0.11,North America
669,82.5,Arabica,Guatemala,7.67,7.33,7.33,7.33,7.5,7.83,10.0,10.0,10.0,7.5,0.11,North America
670,82.5,Arabica,Brazil,7.67,7.42,7.33,7.67,7.5,7.5,10.0,10.0,10.0,7.42,0.0,South America
671,82.5,Arabica,Colombia,7.67,7.5,7.33,7.5,7.25,7.67,10.0,10.0,10.0,7.58,0.11,South America
672,82.5,Arabica,United States (Hawaii),7.33,7.42,7.33,7.75,7.42,7.67,10.0,10.0,10.0,7.58,0.12,North America
673,82.5,Arabica,Guatemala,7.75,7.58,7.67,7.67,7.58,7.58,9.33,10.0,10.0,7.33,0.01,North America
674,82.42,Arabica,Honduras,7.42,7.67,7.17,7.58,7.58,7.5,10.0,10.0,10.0,7.5,0.12,North America
675,82.42,Arabica,Guatemala,7.58,7.5,7.33,7.75,7.33,7.5,10.0,10.0,10.0,7.42,0.1,North America
676,82.42,Arabica,Guatemala,7.67,7.58,7.25,7.67,7.42,7.33,10.0,10.0,10.0,7.5,0.12,North America
677,82.42,Arabica,Guatemala,7.58,7.5,7.25,7.67,7.5,7.5,10.0,10.0,10.0,7.42,0.12,North America
678,82.42,Arabica,Guatemala,7.5,7.42,7.08,7.75,7.67,7.5,10.0,10.0,10.0,7.5,0.11,North America
679,82.42,Arabica,Colombia,5.08,7.75,7.83,7.75,7.83,8.08,10.0,10.0,10.0,8.08,0.11,South America
680,82.42,Arabica,China,7.67,7.42,7.42,7.5,7.42,7.42,10.0,10.0,10.0,7.58,0.1,Asia
681,82.42,Arabica,Brazil,7.42,7.5,7.33,7.5,7.25,7.42,10.0,10.0,10.0,8.0,0.11,South America
682,82.42,Arabica,"Tanzania, United Republic Of",7.67,7.25,7.42,7.42,7.67,7.42,10.0,10.0,10.0,7.58,0.13,Africa
683,82.42,Arabica,Brazil,7.17,7.83,7.33,7.5,7.75,7.42,10.0,10.0,10.0,7.42,0.0,South America
684,82.42,Arabica,Guatemala,7.5,7.5,7.5,7.67,7.42,7.5,10.0,10.0,10.0,7.33,0.1,North America
685,82.42,Arabica,Mexico,7.42,7.5,7.42,7.58,7.42,7.5,10.0,10.0,10.0,7.58,0.11,North America
686,82.42,Arabica,Brazil,7.58,7.67,7.33,7.5,7.5,7.42,10.0,10.0,10.0,7.42,0.12,South America
687,82.42,Arabica,Peru,7.58,7.58,7.58,7.75,7.5,7.58,9.33,10.0,10.0,7.5,0.0,South America
688,82.42,Arabica,Brazil,7.25,7.33,7.25,7.5,7.42,7.5,10.0,10.0,10.0,8.17,0.0,South America
689,82.42,Arabica,Mexico,7.5,7.58,7.5,7.92,7.42,7.67,9.33,10.0,10.0,7.5,0.12,North America
690,82.42,Arabica,Honduras,7.25,7.67,7.42,7.17,7.75,7.5,10.0,10.0,10.0,7.67,0.09,North America
691,82.42,Arabica,Colombia,7.67,7.42,7.33,7.5,7.58,7.5,10.0,10.0,10.0,7.42,0.11,South America
692,82.42,Arabica,Mexico,7.5,7.42,7.42,7.67,7.42,7.58,10.0,10.0,10.0,7.42,0.12,North America
693,82.42,Arabica,Mexico,7.42,7.58,7.5,7.42,7.58,7.5,10.0,10.0,10.0,7.42,0.13,North America
694,82.42,Arabica,Mexico,7.42,7.58,7.33,7.58,7.5,7.5,10.0,10.0,10.0,7.5,0.14,North America
695,82.42,Arabica,Mexico,7.75,7.33,7.25,7.58,7.58,7.33,10.0,10.0,10.0,7.58,0.13,North America
696,82.42,Arabica,Mexico,7.5,7.58,7.33,7.5,7.5,7.5,10.0,10.0,10.0,7.5,0.11,North America
697,82.42,Arabica,Mexico,7.58,7.58,7.17,7.5,7.5,7.5,10.0,10.0,10.0,7.58,0.14,North America
698,82.42,Arabica,Mexico,7.58,7.33,7.33,7.58,7.5,7.5,10.0,10.0,10.0,7.58,0.11,North America
699,82.42,Arabica,Mexico,7.67,7.58,7.33,7.42,7.58,7.33,10.0,10.0,10.0,7.5,0.13,North America
700,82.42,Arabica,Mexico,7.83,7.5,7.42,7.67,7.17,7.33,10.0,10.0,10.0,7.5,0.12,North America
701,82.42,Arabica,Colombia,7.67,7.33,7.25,7.42,7.5,7.67,10.0,10.0,10.0,7.58,0.0,South America
702,82.42,Arabica,Brazil,7.75,7.5,7.42,7.42,7.5,7.42,10.0,10.0,10.0,7.42,0.11,South America
703,82.42,Arabica,Colombia,7.33,7.58,7.17,7.58,7.42,7.58,10.0,10.0,10.0,7.75,0.0,South America
704,82.42,Arabica,Colombia,7.58,7.25,7.42,7.25,7.58,7.83,10.0,10.0,10.0,7.5,0.02,South America
705,82.33,Arabica,Honduras,7.5,7.58,7.33,7.5,7.42,7.42,10.0,10.0,10.0,7.58,0.1,North America
706,82.33,Arabica,Brazil,7.33,7.5,7.5,7.33,7.5,7.5,10.0,10.0,10.0,7.67,0.11,South America
707,82.33,Arabica,Brazil,7.42,7.42,7.42,7.5,7.5,7.58,10.0,10.0,10.0,7.5,0.11,South America
708,82.33,Arabica,Brazil,7.5,7.5,7.42,7.5,7.42,7.5,10.0,10.0,10.0,7.5,0.11,South America
709,82.33,Arabica,Costa Rica,7.75,7.5,7.25,7.25,7.42,7.67,10.0,10.0,10.0,7.5,0.1,North America
710,82.33,Arabica,Costa Rica,7.75,7.33,7.5,7.5,7.33,7.58,10.0,10.0,10.0,7.33,0.0,North America
711,82.33,Arabica,China,7.5,7.58,7.42,7.5,7.42,7.42,10.0,10.0,10.0,7.5,0.12,Asia
712,82.33,Arabica,Brazil,8.25,7.83,7.25,8.33,8.17,8.08,10.0,6.67,10.0,7.75,0.07,South America
713,82.33,Arabica,Brazil,7.42,7.5,7.5,7.42,7.5,7.58,10.0,10.0,10.0,7.42,0.11,South America
714,82.33,Arabica,Guatemala,7.5,7.42,7.17,7.83,7.5,7.5,10.0,10.0,10.0,7.42,0.1,North America
715,82.33,Arabica,Malawi,7.33,7.58,7.42,7.58,7.33,7.5,10.0,10.0,10.0,7.58,0.12,Africa
716,82.33,Arabica,Brazil,7.75,8.08,7.67,8.08,8.08,8.0,10.0,10.0,6.67,8.0,0.11,South America
717,82.33,Arabica,Guatemala,7.58,7.67,7.5,7.58,7.75,7.5,9.33,10.0,10.0,7.42,0.12,North America
718,82.33,Arabica,Mexico,7.33,7.58,7.42,7.5,7.5,7.5,10.0,10.0,10.0,7.5,0.11,North America
719,82.33,Arabica,Colombia,7.42,7.33,7.5,7.17,7.08,8.33,10.0,10.0,10.0,7.5,0.1,South America
720,82.33,Arabica,Taiwan,7.5,7.5,7.5,7.5,7.5,7.5,10.0,10.0,10.0,7.33,0.11,Asia
721,82.33,Arabica,Taiwan,7.5,7.5,7.5,7.5,7.5,7.5,10.0,10.0,10.0,7.33,0.11,Asia
722,82.33,Arabica,Guatemala,7.5,7.42,7.58,7.5,7.5,7.58,10.0,10.0,10.0,7.25,0.12,North America
723,82.33,Arabica,Colombia,7.5,7.42,7.5,7.5,7.5,7.58,10.0,10.0,10.0,7.33,0.0,South America
724,82.33,Arabica,Mexico,7.67,7.5,7.42,7.5,7.42,7.42,10.0,10.0,10.0,7.42,0.12,North America
725,82.33,Arabica,Costa Rica,7.92,7.58,7.25,7.75,7.92,7.58,9.33,9.33,10.0,7.67,0.0,North America
726,82.33,Arabica,Guatemala,7.67,7.5,7.33,7.67,7.5,7.33,10.0,10.0,10.0,7.33,0.11,North America
727,82.33,Arabica,Mexico,7.58,7.67,7.58,7.33,7.0,7.58,10.0,10.0,10.0,7.58,0.15,North America
728,82.33,Arabica,Mexico,7.67,7.58,7.5,7.58,7.5,7.5,10.0,10.0,10.0,7.0,0.13,North America
729,82.33,Arabica,Guatemala,7.5,7.67,7.33,7.5,7.33,7.5,10.0,10.0,10.0,7.5,0.1,North America
730,82.33,Arabica,Brazil,7.58,7.5,7.42,7.5,7.5,7.42,10.0,10.0,10.0,7.42,0.12,South America
731,82.33,Arabica,Mexico,8.0,7.75,7.33,7.33,7.08,7.67,9.33,10.0,10.0,7.83,0.11,North America
732,82.33,Arabica,Brazil,7.58,7.58,7.25,7.58,7.42,7.5,10.0,10.0,10.0,7.42,0.11,South America
733,82.33,Arabica,Colombia,7.83,7.58,7.33,7.25,7.58,7.42,10.0,10.0,10.0,7.33,0.0,South America
734,82.25,Arabica,Brazil,7.58,7.5,7.25,7.42,7.67,7.33,10.0,10.0,10.0,7.5,0.09,South America
735,82.25,Arabica,Taiwan,7.0,7.08,7.0,7.17,7.0,7.0,10.0,10.0,10.0,10.0,0.1,Asia
736,82.25,Arabica,Guatemala,7.67,7.5,7.25,7.67,7.42,7.42,10.0,10.0,10.0,7.33,0.11,North America
737,82.25,Arabica,Brazil,7.42,7.67,7.5,7.08,7.5,7.42,10.0,10.0,10.0,7.67,0.0,South America
738,82.25,Arabica,El Salvador,7.58,7.67,7.5,7.67,7.83,8.42,9.33,9.33,9.33,7.58,0.12,North America
739,82.25,Arabica,Honduras,7.58,7.5,7.42,7.58,7.42,7.42,10.0,10.0,10.0,7.33,0.11,North America
740,82.25,Arabica,Malawi,7.58,7.42,7.33,7.42,7.58,7.5,10.0,10.0,10.0,7.42,0.13,Africa
741,82.25,Arabica,Brazil,7.75,7.58,7.42,7.42,7.33,7.33,10.0,10.0,10.0,7.42,0.11,South America
742,82.25,Arabica,Taiwan,7.5,7.5,7.5,7.5,7.5,7.5,10.0,10.0,10.0,7.25,0.11,Asia
743,82.25,Arabica,Mexico,7.58,7.58,7.42,7.42,7.42,7.42,10.0,10.0,10.0,7.42,0.12,North America
744,82.25,Arabica,United States (Hawaii),7.33,7.42,7.5,7.67,7.5,7.42,10.0,10.0,10.0,7.42,0.0,North America
745,82.25,Arabica,Mexico,7.58,7.58,7.5,7.17,7.42,7.42,10.0,10.0,10.0,7.58,0.16,North America
746,82.25,Arabica,Guatemala,7.5,7.5,7.33,7.58,7.67,7.33,10.0,10.0,10.0,7.33,0.11,North America
747,82.25,Arabica,Mexico,7.5,7.58,7.42,7.67,7.33,7.42,10.0,10.0,10.0,7.33,0.13,North America
748,82.25,Arabica,Mexico,7.67,7.58,7.33,7.5,7.42,7.42,10.0,10.0,10.0,7.33,0.12,North America
749,82.25,Arabica,El Salvador,7.75,7.33,7.33,7.5,7.5,7.5,10.0,10.0,10.0,7.33,0.0,North America
750,82.25,Arabica,Mexico,7.33,7.58,7.42,7.67,7.33,7.5,10.0,10.0,10.0,7.42,0.11,North America
751,82.25,Arabica,Mexico,7.42,7.5,7.42,7.58,7.42,7.5,10.0,10.0,10.0,7.42,0.1,North America
752,82.25,Arabica,Colombia,7.5,7.42,7.67,7.33,7.58,7.33,10.0,10.0,10.0,7.42,0.12,South America
753,82.25,Arabica,Colombia,7.67,7.33,7.33,7.33,7.5,7.5,10.0,10.0,10.0,7.58,0.11,South America
754,82.25,Arabica,Brazil,7.67,7.58,7.42,7.0,7.5,7.58,10.0,10.0,10.0,7.5,0.12,South America
755,82.25,Arabica,Colombia,7.17,7.25,7.58,7.25,7.58,7.67,10.0,10.0,10.0,7.75,0.22,South America
756,82.17,Arabica,Brazil,7.42,7.42,7.5,7.42,7.42,7.5,10.0,10.0,10.0,7.5,0.11,South America
757,82.17,Arabica,Honduras,7.5,7.5,7.17,7.42,7.5,7.5,10.0,10.0,10.0,7.58,0.11,North America
758,82.17,Arabica,Nicaragua,7.5,7.5,7.33,7.42,7.5,7.42,10.0,10.0,10.0,7.5,0.1,North America
759,82.17,Arabica,"Tanzania, United Republic Of",7.58,7.42,7.42,7.33,7.5,7.42,10.0,10.0,10.0,7.5,0.13,Africa
760,82.17,Arabica,"Tanzania, United Republic Of",7.42,7.42,7.42,7.5,7.5,7.33,10.0,10.0,10.0,7.58,0.12,Africa
761,82.17,Arabica,Brazil,6.92,7.58,7.42,7.33,7.83,7.5,10.0,10.0,10.0,7.58,0.0,South America
762,82.17,Arabica,Thailand,7.42,7.42,7.17,7.75,7.25,7.67,10.0,10.0,10.0,7.5,0.12,Asia
763,82.17,Arabica,Honduras,7.67,7.5,7.25,7.42,7.58,7.42,10.0,10.0,10.0,7.33,0.11,North America
764,82.17,Arabica,Guatemala,7.42,7.42,7.5,7.5,7.42,7.5,10.0,10.0,10.0,7.42,0.09,North America
765,82.17,Arabica,Brazil,7.58,7.5,7.42,7.25,7.5,7.42,10.0,10.0,10.0,7.5,0.12,South America
766,82.17,Arabica,"Tanzania, United Republic Of",7.75,7.42,7.42,7.58,7.33,7.42,10.0,10.0,10.0,7.25,0.12,Africa
767,82.17,Arabica,Mexico,7.42,7.33,7.17,7.42,7.33,8.17,10.0,10.0,10.0,7.33,0.12,North America
768,82.17,Arabica,Mexico,7.5,7.5,7.33,7.42,7.5,7.42,10.0,10.0,10.0,7.5,0.1,North America
769,82.17,Arabica,Taiwan,7.5,7.5,7.5,7.5,7.5,7.5,10.0,10.0,10.0,7.17,0.11,Asia
770,82.17,Arabica,Taiwan,7.67,7.5,7.5,7.17,7.17,7.58,10.0,10.0,10.0,7.58,0.0,Asia
771,82.17,Arabica,Colombia,7.33,7.25,7.25,7.58,7.75,7.5,10.0,10.0,10.0,7.5,0.0,South America
772,82.17,Arabica,Mexico,7.5,7.67,7.0,7.5,7.33,7.5,10.0,10.0,10.0,7.67,0.15,North America
773,82.17,Arabica,Guatemala,7.25,7.75,7.0,7.75,8.17,7.75,10.0,10.0,9.33,7.17,0.12,North America
774,82.17,Arabica,Mexico,7.5,7.58,7.25,7.5,7.5,7.33,10.0,10.0,10.0,7.5,0.12,North America
775,82.17,Arabica,Mexico,7.0,7.67,7.5,7.5,7.42,7.5,10.0,10.0,10.0,7.58,0.1,North America
776,82.17,Arabica,Colombia,7.58,7.67,7.42,7.17,7.17,7.75,10.0,10.0,10.0,7.42,0.08,South America
777,82.08,Arabica,Indonesia,7.5,7.5,7.42,7.42,7.5,7.42,10.0,10.0,10.0,7.33,0.15,Asia
778,82.08,Arabica,Colombia,7.75,7.58,7.42,7.67,7.83,7.58,9.33,9.33,10.0,7.58,0.0,South America
779,82.08,Arabica,Brazil,7.42,7.58,7.42,7.5,7.42,7.25,10.0,10.0,10.0,7.5,0.11,South America
780,82.08,Arabica,Brazil,7.25,7.25,7.58,7.58,7.25,7.92,10.0,10.0,10.0,7.25,0.0,South America
781,82.08,Arabica,Costa Rica,7.75,7.42,7.42,7.25,7.17,7.42,10.0,10.0,10.0,7.67,0.0,North America
782,82.08,Arabica,"Tanzania, United Republic Of",7.42,7.33,7.42,7.42,7.5,7.58,10.0,10.0,10.0,7.42,0.12,Africa
783,82.08,Arabica,"Tanzania, United Republic Of",7.42,7.5,7.5,7.33,7.33,7.5,10.0,10.0,10.0,7.5,0.12,Africa
784,82.08,Arabica,Colombia,7.5,7.42,7.42,7.42,7.67,7.42,10.0,10.0,10.0,7.25,0.11,South America
785,82.08,Arabica,Costa Rica,7.58,7.33,7.33,7.33,7.5,7.67,10.0,10.0,10.0,7.33,0.11,North America
786,82.08,Arabica,United States (Hawaii),7.25,7.58,7.58,7.25,7.5,7.42,10.0,10.0,10.0,7.5,0.11,North America
787,82.08,Arabica,Mexico,7.42,7.58,7.5,7.33,7.42,7.42,10.0,10.0,10.0,7.42,0.13,North America
788,82.08,Arabica,Mexico,7.5,7.42,7.42,7.5,7.25,7.5,10.0,10.0,10.0,7.5,0.13,North America
789,82.08,Arabica,Mexico,7.67,7.5,7.25,7.58,7.42,7.33,10.0,10.0,10.0,7.33,0.11,North America
790,82.08,Arabica,Vietnam,7.67,8.0,7.17,7.08,7.67,7.08,10.0,10.0,10.0,7.42,0.12,Asia
791,82.08,Arabica,Mexico,7.58,7.42,7.25,7.75,7.33,7.42,10.0,10.0,10.0,7.33,0.11,North America
792,82.08,Arabica,United States (Hawaii),7.33,7.5,7.33,7.58,7.08,7.83,10.0,10.0,10.0,7.42,0.1,North America
793,82.08,Arabica,Colombia,7.67,7.42,7.67,7.33,7.25,7.58,10.0,10.0,10.0,7.17,0.08,South America
794,82.0,Arabica,Honduras,7.5,7.5,7.17,7.5,7.5,7.42,10.0,10.0,10.0,7.42,0.12,North America
795,82.0,Arabica,Honduras,7.5,7.5,7.25,7.33,7.42,7.5,10.0,10.0,10.0,7.5,0.1,North America
796,82.0,Arabica,Brazil,7.5,7.33,7.42,7.5,7.33,7.42,10.0,10.0,10.0,7.5,0.11,South America
797,82.0,Arabica,"Tanzania, United Republic Of",7.67,7.33,7.33,7.42,7.42,7.42,10.0,10.0,10.0,7.42,0.13,Africa
798,82.0,Arabica,Laos,7.42,7.5,7.25,7.33,7.5,7.5,10.0,10.0,10.0,7.5,0.12,Asia
799,82.0,Arabica,"Tanzania, United Republic Of",7.42,7.42,7.33,7.58,7.33,7.42,10.0,10.0,10.0,7.5,0.12,Africa
800,82.0,Arabica,Malawi,7.5,7.42,7.33,7.58,7.33,7.5,10.0,10.0,10.0,7.33,0.13,Africa
801,82.0,Arabica,Taiwan,7.33,7.5,7.17,7.42,7.5,7.33,10.0,10.0,10.0,7.75,0.09,Asia
802,82.0,Arabica,Thailand,7.58,7.5,7.42,7.42,7.33,7.42,10.0,10.0,10.0,7.33,0.11,Asia
803,82.0,Arabica,Costa Rica,7.5,7.25,7.33,7.33,7.75,7.5,10.0,10.0,10.0,7.33,0.1,North America
804,82.0,Arabica,Honduras,7.33,7.33,7.33,7.5,7.5,7.83,10.0,10.0,10.0,7.17,0.11,North America
805,82.0,Arabica,Colombia,7.33,7.33,7.58,7.5,7.5,7.58,10.0,10.0,10.0,7.17,0.11,South America
806,82.0,Arabica,Taiwan,7.42,7.58,7.33,7.42,8.0,7.5,9.33,10.0,10.0,7.42,0.12,Asia
807,82.0,Arabica,Brazil,7.33,7.67,7.42,7.17,7.33,7.42,10.0,10.0,10.0,7.67,0.11,South America
808,82.0,Arabica,Mexico,7.67,7.33,7.25,7.5,7.42,7.42,10.0,10.0,10.0,7.42,0.12,North America
809,82.0,Arabica,Brazil,7.42,7.5,7.33,7.5,7.33,7.5,10.0,10.0,10.0,7.42,0.12,South America
810,82.0,Arabica,Brazil,7.42,7.5,7.25,7.5,7.5,7.42,10.0,10.0,10.0,7.42,0.11,South America
811,82.0,Arabica,Guatemala,7.33,7.33,7.33,7.5,7.67,7.67,10.0,10.0,10.0,7.17,0.11,North America
812,82.0,Arabica,Brazil,7.58,7.5,7.17,7.5,7.5,7.42,10.0,10.0,10.0,7.33,0.12,South America
813,82.0,Arabica,Guatemala,7.75,7.33,7.33,7.42,7.75,7.67,10.0,10.0,9.33,7.42,0.0,North America
814,82.0,Arabica,Colombia,7.33,7.0,7.08,7.42,7.5,7.67,10.0,10.0,10.0,8.0,0.07,South America
815,81.92,Arabica,Guatemala,7.58,7.5,7.25,7.58,7.58,7.5,9.33,10.0,10.0,7.58,0.1,North America
816,81.92,Arabica,Guatemala,7.5,7.5,7.25,7.42,7.42,7.42,10.0,10.0,10.0,7.42,0.11,North America
817,81.92,Arabica,Honduras,7.58,7.5,7.25,7.33,7.42,7.5,10.0,10.0,10.0,7.33,0.12,North America
818,81.92,Arabica,Brazil,7.42,7.33,7.33,7.5,7.5,7.33,10.0,10.0,10.0,7.5,0.11,South America
819,81.92,Arabica,El Salvador,7.67,7.58,7.33,7.5,7.5,7.67,10.0,10.0,9.33,7.33,0.11,North America
820,81.92,Arabica,Guatemala,7.58,7.58,7.17,7.83,7.17,7.33,10.0,10.0,10.0,7.25,0.11,North America
821,81.92,Arabica,"Tanzania, United Republic Of",7.33,7.33,7.33,7.42,7.5,7.58,10.0,10.0,10.0,7.42,0.12,Africa
822,81.92,Arabica,Nicaragua,7.58,7.42,7.25,7.17,7.5,7.67,10.0,10.0,10.0,7.33,0.12,North America
823,81.92,Arabica,Zambia,7.67,7.08,7.42,7.33,7.75,7.42,10.0,10.0,10.0,7.25,0.0,Africa
824,81.92,Arabica,Honduras,7.42,7.33,7.33,7.58,7.33,7.5,10.0,10.0,10.0,7.42,0.11,North America
825,81.92,Arabica,Taiwan,7.5,7.5,7.42,7.25,7.5,7.5,10.0,10.0,10.0,7.25,0.11,Asia
826,81.92,Arabica,Mexico,7.58,7.5,7.25,7.58,7.5,7.25,10.0,10.0,10.0,7.25,0.12,North America
827,81.92,Arabica,Mexico,7.5,7.5,7.25,7.25,7.5,7.5,10.0,10.0,10.0,7.42,0.13,North America
828,81.92,Arabica,Mexico,7.5,7.42,7.25,7.5,7.33,7.33,10.0,10.0,10.0,7.58,0.14,North America
829,81.92,Arabica,Mexico,7.33,7.58,7.17,7.58,7.42,7.33,10.0,10.0,10.0,7.5,0.12,North America
830,81.92,Arabica,Mexico,7.67,7.42,7.33,7.83,7.5,7.5,9.33,10.0,10.0,7.33,0.12,North America
831,81.92,Arabica,Brazil,7.42,7.58,7.25,7.5,7.33,7.5,10.0,10.0,10.0,7.33,0.12,South America
832,81.92,Arabica,Colombia,7.67,7.33,7.33,7.58,7.33,7.33,10.0,10.0,10.0,7.33,0.09,South America
833,81.83,Arabica,Guatemala,7.42,7.5,7.25,7.5,7.33,7.42,10.0,10.0,10.0,7.42,0.1,North America
834,81.83,Arabica,Costa Rica,7.25,7.33,7.5,7.33,7.67,7.42,10.0,10.0,10.0,7.33,0.0,North America
835,81.83,Arabica,Brazil,7.42,7.5,7.42,7.5,7.42,7.25,10.0,10.0,10.0,7.33,0.11,South America
836,81.83,Arabica,Indonesia,7.75,7.83,7.58,7.75,7.92,7.83,10.0,10.0,10.0,5.17,0.11,Asia
837,81.83,Arabica,Guatemala,7.58,7.5,7.33,7.42,7.58,7.25,10.0,10.0,10.0,7.17,0.1,North America
838,81.83,Arabica,Brazil,7.17,7.58,6.83,7.5,7.75,7.25,10.0,10.0,10.0,7.75,0.0,South America
839,81.83,Arabica,Brazil,7.58,7.0,6.92,6.92,7.67,7.5,10.0,10.0,10.0,8.25,0.0,South America
840,81.83,Arabica,Myanmar,7.33,7.58,7.5,7.42,7.33,7.33,10.0,10.0,10.0,7.33,0.0,Asia
841,81.83,Arabica,Mexico,7.58,7.5,7.33,7.5,7.17,7.33,10.0,10.0,10.0,7.42,0.11,North America
842,81.83,Arabica,Honduras,7.5,7.5,7.33,7.5,7.42,7.25,10.0,10.0,10.0,7.33,0.12,North America
843,81.83,Arabica,Costa Rica,7.67,7.5,7.5,7.25,7.08,7.42,10.0,10.0,10.0,7.42,0.09,North America
844,81.83,Arabica,Taiwan,7.67,7.33,7.17,7.25,7.75,7.33,10.0,10.0,10.0,7.33,0.0,Asia
845,81.83,Arabica,Indonesia,7.42,7.42,7.42,7.33,7.42,7.42,10.0,10.0,10.0,7.42,0.11,Asia
846,81.83,Arabica,Malawi,7.58,7.42,7.33,7.33,7.33,7.42,10.0,10.0,10.0,7.42,0.13,Africa
847,81.83,Arabica,Brazil,7.33,7.58,7.25,7.17,7.83,7.33,10.0,10.0,10.0,7.33,0.11,South America
848,81.83,Arabica,Honduras,7.5,7.5,7.33,7.33,7.33,7.33,10.0,10.0,10.0,7.5,0.1,North America
849,81.83,Arabica,Mexico,7.42,7.42,7.25,7.5,7.33,7.42,10.0,10.0,10.0,7.5,0.11,North America
850,81.83,Arabica,Colombia,7.5,7.5,7.0,7.42,7.5,7.58,10.0,10.0,10.0,7.33,0.0,South America
851,81.83,Arabica,United States (Hawaii),7.83,7.83,7.83,8.0,7.83,7.83,10.0,6.67,10.0,8.0,0.0,North America
852,81.83,Arabica,Brazil,7.75,7.75,7.5,7.42,7.83,7.75,9.33,9.33,9.33,7.83,0.12,South America
853,81.83,Arabica,Guatemala,7.83,7.67,7.33,7.33,7.67,7.83,9.33,10.0,9.33,7.5,0.11,North America
854,81.83,Arabica,Mexico,7.83,7.33,7.25,7.58,7.25,7.33,10.0,10.0,10.0,7.25,0.12,North America
855,81.83,Arabica,Mexico,7.33,7.33,7.25,7.5,7.5,7.5,10.0,10.0,10.0,7.42,0.12,North America
856,81.83,Arabica,Brazil,7.33,7.67,7.25,7.5,7.5,7.25,10.0,10.0,10.0,7.33,0.02,South America
857,81.83,Arabica,Colombia,7.58,7.5,7.17,7.58,7.33,7.33,10.0,10.0,10.0,7.33,0.05,South America
858,81.83,Arabica,United States (Hawaii),7.25,7.58,7.83,7.67,7.75,7.75,9.33,9.33,10.0,7.33,0.02,North America
859,81.75,Arabica,Guatemala,7.5,7.5,7.25,7.42,7.42,7.33,10.0,10.0,10.0,7.33,0.11,North America
860,81.75,Arabica,Vietnam,7.0,7.08,7.33,7.5,7.5,7.33,10.0,10.0,10.0,8.0,0.12,Asia
861,81.75,Arabica,"Tanzania, United Republic Of",7.42,7.42,7.42,7.42,7.33,7.33,10.0,10.0,10.0,7.42,0.12,Africa
862,81.75,Arabica,Brazil,7.17,7.25,7.17,7.25,7.42,8.25,10.0,10.0,10.0,7.25,0.1,South America
863,81.75,Arabica,Mexico,7.5,7.5,7.33,7.42,7.25,7.25,10.0,10.0,10.0,7.5,0.13,North America
864,81.75,Arabica,Mexico,7.42,7.5,7.17,7.67,7.33,7.42,10.0,10.0,10.0,7.25,0.13,North America
865,81.75,Arabica,Mexico,7.42,7.5,7.33,7.58,7.33,7.33,10.0,10.0,10.0,7.25,0.11,North America
